,N_epochs,Train Loss,Valid BLEU
0,1,4.15956955417814,1.1336146723805045e-231
1,2,3.3402792026874106,1.1765782172761802e-231
2,3,3.0833313234238755,1.1939701381751336e-231
3,4,2.933999939398332,1.1797971092117733e-231
4,5,2.8252106820170586,1.1450340065968602e-231
5,6,2.736756630094626,1.1534530503419755e-231
6,7,2.660668162017943,1.1410175749828556e-231
7,8,2.5922635741855786,1.1511126498036347e-231
8,9,2.5322185335423164,1.15810128281648e-231
9,10,2.47669860732414,1.1431277659023414e-231
10,11,2.426099251381493,1.128463956801579e-231
11,12,2.379952086761535,1.1551863331549177e-231
12,13,2.339619630410266,1.147487977843838e-231
